,,Name,Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
1,,@AlejandroGuzman-bi4wg,"2025-11-17 23:56:21",1,yes,no,"Está arreglado",UCbQO_BmYUVhoBxjRCI4D0Tw,Ugzi-RMAOWwJththepp4AaABAg,https://www.youtube.com/watch?v=Fg6UbUrwC4U&lc=Ugzi-RMAOWwJththepp4AaABAg
2,,@AlejandroGuzman-bi4wg,"2025-11-17 23:56:21",1,yes,no,"Tenía que haber ganado Parisi.hicieron trampa",UCbQO_BmYUVhoBxjRCI4D0Tw,UgyBTIpt7dz46X2m_qV4AaABAg,https://www.youtube.com/watch?v=Fg6UbUrwC4U&lc=UgyBTIpt7dz46X2m_qV4AaABAg
3,,@Aurélio-r5u,"2025-11-17 23:56:21",1,yes,no,"Con o sin los votos del metido a gurú de parisi ,kast igual va a vencer las elecciones, es que esta gente idi…a de Chile le llenan tanto la bola a este parisi !! Este es apenas un apenas y nada más que eso",UCgabgTcVHnvxdXOb23cVNXQ,UgwbZzwX-CFwdcCc3ch4AaABAg,https://www.youtube.com/watch?v=Fg6UbUrwC4U&lc=UgwbZzwX-CFwdcCc3ch4AaABAg
4,,@CarlosAndresCortez,"2025-11-17 23:56:21",1,yes,no,"Si Kast no gana Chile se va a la m…. Después de Boric , Bachelet y cuánto incapaz a gobernado el país está irreconocible",UC6EgAAGsEbyECP0ILtJtdCw,UgxgAqkv_w3XoAcOjr94AaABAg,https://www.youtube.com/watch?v=Fg6UbUrwC4U&lc=UgxgAqkv_w3XoAcOjr94AaABAg
5,,@KathyRoss,"2025-11-17 23:56:21",1,yes,no,"No entiendo como la gente puede ser tan ilusa y seguir creyendo en política, no existe ningún político que no sea mentiroso, lo que hay que hacer es dejar de ir a votar para colapsar el sistema y forzar que realmente nos pongan candidatos que valgan la pena y solo entonces ir a votar, sin votantes no pueden hacer elecciones, el poder esta en el pueblo y no en estos mentirosos.",UCYs767Rnesq1T-YWPhK23qw,UgwFS9y7E6u3k_I9-7R4AaABAg,https://www.youtube.com/watch?v=Fg6UbUrwC4U&lc=UgwFS9y7E6u3k_I9-7R4AaABAg
6,,@PaolaXimena-i5o,"2025-11-17 23:56:21",1,yes,no,"HolaQue lata y que desilucion.La gente ya no quieren más derecha e izquierda,.Me da mucha tristeza que no sea presidente Parisi,a él le robaron los votos El presidente,ves el presidente que Chile  y los Chilenos queremos.Robo de votos, se paseaban y se paseaban con las cajas con los votos.",UCCi2mUQoWx8PoVFBJ20g07Q,UgyxRAEhfLEn_Ug7Uc94AaABAg,https://www.youtube.com/watch?v=Fg6UbUrwC4U&lc=UgyxRAEhfLEn_Ug7Uc94AaABAg
7,,@go-iy1kv,"2025-11-17 23:56:21",3,yes,no,"Ahora todos con Kast",UCac5gHbyXzWJDm84OsD89Wg,Ugxoy8cQegIfmdXvyjd4AaABAg,https://www.youtube.com/watch?v=Fg6UbUrwC4U&lc=Ugxoy8cQegIfmdXvyjd4AaABAg
8,,@joacalele123,"2025-11-17 23:56:21",1,yes,no,"Desesperada por los votos JaritaAhora quiere recopilar todas las ideas jajajajajajaja",UCIeSLe67THpLEu-ODWi1aDQ,UgzCLBs7Tn-1J8zRUdR4AaABAg,https://www.youtube.com/watch?v=Fg6UbUrwC4U&lc=UgzCLBs7Tn-1J8zRUdR4AaABAg
9,,@juanespinozavaldes4757,"2025-11-17 23:56:21",1,yes,no,"-- ESTA VEZ HAN GANADO LOS INDECISOS ,LOS TEMEROSOS Y LOS QUE NO ENTIENDEN MUY BIEN  EL ASUNTO.  NO LOGRAN DARSE CUENTA QUE LA DERECHA ES SINONIMO DE RIQUEZA Y PODER SOBRE EL INDEFENSO . A LOS ULTRADERECHISTAS SOLO LES PREOCUPA GANAR Y AUMENTAR EL DINERO QUE POSEEN .  A LA DERECHA NO LE IMPORTA  ESA FAMILIA QUE VIVE CON CARTONES AL LADO DE UN RIO O JUNTO A LA INMUNDICIA.  A LA ULTRADERECHA REPUBLICANA PINOCHETISTA Y CON SABOR A DICTADURA NO LE IMPORTA LAPOBREZA NI EL SUFRIMIENTO . SOLO LO MENCIONAN EN SUS FALSOS DISCURSOS .  GENTE DEL PUEBLO .... NO TRAICIONEMOS TANTOS AÑOS DE LUCHA QUE LA IZQUIERDA HA DADO CONTRA LA INHUMANA DERECHA . NO TRAICIONEMOS  A TANTA GENTE QUE HA REGALADO SU VIDA POR CONSEGUIR UNA MEJOR CALIDAD DE VIDA PARA LA GENTE POBRE . NO TRAICIONEMOS AL PRESIDENTE SALVADOR ALLENDE .  UN HOMBRE DE PALABRA QUE CUMPLIO , CUANDO EL MALDITO  11 DE SEPTIEMBRE SALIO DE MADRUGADA DESDE SU HOGAR CON SU UNIFORME , SU CASCO Y METRALLETA A DEFENDER LA VOLUNTAD DEL PUEBLO QUE LO ELIGIO . FUE A ENTREGAR SU VIDA AL LUGAR DE LOS HECHOS Y NO A ARRANCAR COMO RATAS A ESCONDERSE VEINTE METROS BAJO TIERRA Y DESDE AHÍ DAR LAS ORDENES .  PUEBLO CHILENO NO CAVEN SU TUMBA . NO SACARAN NADA CON LLORAR QUE LES QUITARON ESTO Y LO OTRO .  A LA DERECHA SOLO LES IMPORTA SUS INTERESES ECONOMICOS Y SUS AFP QUE DAN MILLONES Y MILES DE MILLONES DE GANANCIAS. -- DEBEMOS UNIRNOS Y SIN MIEDO DEMOS ,POR ULTIMO,  LA ULTIMA OPORTUNIDAD A LA IZQUIERDA.-",UCtuKRxDpzEO7q94_tFaWLjg,UgxXnaqgxXKMQoO05wV4AaABAg,https://www.youtube.com/watch?v=Fg6UbUrwC4U&lc=UgxXnaqgxXKMQoO05wV4AaABAg
10,,@julioalamo3197,"2025-11-17 23:56:21",1,yes,no,"Voten a conciencia pueblo de Chile ,si eligen uno de derecha van a terminar como Argentina",UC9ArwLuFjTf7MY7sS91dCiA,UgwC9eMIFbESXLIKaLB4AaABAg,https://www.youtube.com/watch?v=Fg6UbUrwC4U&lc=UgwC9eMIFbESXLIKaLB4AaABAg
11,,@nari-b1h,"2025-11-17 23:56:21",1,yes,no,"HABLAR NO CUESTA NADA, Y COPIAR MENOS  !!!!!!! ES UNA INUTIL",UC1pWPsu4hB6XpPVVPmlIptA,Ugws1knQcddvXIeWzuV4AaABAg,https://www.youtube.com/watch?v=Fg6UbUrwC4U&lc=Ugws1knQcddvXIeWzuV4AaABAg
12,,@ritadaniels1334,"2025-11-17 23:56:21",1,yes,no,FRAUDE,UCyAFZUlovY9r854ncSoWsiQ,UgwUg1tTskwQrH4cTpZ4AaABAg,https://www.youtube.com/watch?v=Fg6UbUrwC4U&lc=UgwUg1tTskwQrH4cTpZ4AaABAg
13,,@undergroundx12,"2025-11-17 23:56:21",1,yes,no,"EL QUE QUIERA QUE ESTE PAÍS SE TRANSFORME EN UN PAÍS..... BANANERO...QUE VOTE POR LA TEMPORERA....",UCcOD_Zc7_rrMlrqgAnG7d9g,UgzW5Wl83Oxjrv2NZlR4AaABAg,https://www.youtube.com/watch?v=Fg6UbUrwC4U&lc=UgzW5Wl83Oxjrv2NZlR4AaABAg
14,,@veronicacaceres3195,"2025-11-17 23:56:21",2,yes,no,"Kast presidente un hombre con educación respetuoso que pondrá  mano dura a los delincuentes.",UCjkO395Yd6govWzKjmrOOag,Ugy7T_9a2uAP143YWfV4AaABAg,https://www.youtube.com/watch?v=Fg6UbUrwC4U&lc=Ugy7T_9a2uAP143YWfV4AaABAg
15,,@50.Coyeeyo,"2025-11-17 23:56:25",2,yes,no,"AHORA VIENE. LA CAMPAÑA DEL TERROR DE LA DERECHAS  PARA CREAR CAOS Y LOS CANALES DE TELEVISION SE ENCARGAN DE DIFUNDIRLA.",UC17Goidgt4MBKl8OgGrkLoA,UgwUyBswmYbpVwxfZ0t4AaABAg,https://www.youtube.com/watch?v=Fg6UbUrwC4U&lc=UgwUyBswmYbpVwxfZ0t4AaABAg
16,,@AbrahamOsall,"2025-11-17 23:56:25",1,yes,no,"Parisi  ya fuiste jjajajajajjajajajajajjajajajajajjajajajajajajajjajaa",UC9obIdRDLji0NWcp3h3iGcw,UgzuSnK0AHAu6Bvw1454AaABAg,https://www.youtube.com/watch?v=Fg6UbUrwC4U&lc=UgzuSnK0AHAu6Bvw1454AaABAg
17,,@AlejandroAhern,"2025-11-17 23:56:25",1,yes,no,"Jara debe renunciar y ceder su lugar a   Franco Parisi",UC0PgXWpXAqnKnAWmdOE7M1w,UgxRrumyg0C3fpUzkLt4AaABAg,https://www.youtube.com/watch?v=Fg6UbUrwC4U&lc=UgxRrumyg0C3fpUzkLt4AaABAg
18,,@BanqueroGamer,"2025-11-17 23:56:25",3,yes,no,"Kast con Kaiser y Matthei y con gente preparada y adecuada para posiciones claves en un futuro gobierno. Jara con puros teletubies, tremenda diferencia.",UCeQdwpRHlD0cClxE9G3OU_w,UgxMDSljmhH2-T05PRB4AaABAg,https://www.youtube.com/watch?v=Fg6UbUrwC4U&lc=UgxMDSljmhH2-T05PRB4AaABAg
19,,@Jess-vp1xm,"2025-11-17 23:56:25",1,yes,no,"No queda otra que votar por lo menos malo... De nuevo",UCFrUjNautz6vXJpYbLtSW9Q,Ugw7vKTGaatQYPfzGPZ4AaABAg,https://www.youtube.com/watch?v=Fg6UbUrwC4U&lc=Ugw7vKTGaatQYPfzGPZ4AaABAg
20,,@MiPrincesawanda,"2025-11-17 23:56:25",5,yes,no,"KAISER ES EL PRESIDENTE PARA UN PAIS VALIENTE NO PARA UNO CASTRADO.",UCigDx3xkYr7UN7zbguuEoNw,UgzIDxcNs1TVUrqBvvp4AaABAg,https://www.youtube.com/watch?v=Fg6UbUrwC4U&lc=UgzIDxcNs1TVUrqBvvp4AaABAg
21,,@danielaguerrachavarriga6571,"2025-11-17 23:56:25",1,yes,no,"CORTAN LA SERIE QUE PASA AQUI",UCqCoJZF42ACLfEmnU6MXoqA,UgxrlLLZnF9gpUagE5d4AaABAg,https://www.youtube.com/watch?v=Fg6UbUrwC4U&lc=UgxrlLLZnF9gpUagE5d4AaABAg
22,,@danielaguerrachavarriga6571,"2025-11-17 23:56:25",1,yes,no,"HAY FRAUDE, SE DEBE DE REPETIR YA QUE ALGO RARO HAY, COMO HAN CONTADO TAN RAPIDO LOS VOTOS , LA GENTE NO VEE LO QUE PASA ENTREMEDIO, ESTO ES RSRISIMO, DEBE HACERSE DE NUEVO Y SUPERVISADO POR MILITARES, NO ME CUADRA",UCqCoJZF42ACLfEmnU6MXoqA,UgwNCuBLCRh4lW_bL4d4AaABAg,https://www.youtube.com/watch?v=Fg6UbUrwC4U&lc=UgwNCuBLCRh4lW_bL4d4AaABAg
23,,@danielaguerrachavarriga6571,"2025-11-17 23:56:25",2,yes,no,"INCLUSO COLOVAR GRABADORAS EN LAS SALAS Y SUPERVISORES",UCqCoJZF42ACLfEmnU6MXoqA,Ugxcz_0rsk27B8D6fz54AaABAg,https://www.youtube.com/watch?v=Fg6UbUrwC4U&lc=Ugxcz_0rsk27B8D6fz54AaABAg
