,,Name,Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
15,,@a-1-137,"2025-11-13 17:50:15",1,yes,no,"Kaiser y su rol en el Congreso mayo 2022 voto en contra de la expulsión de narcos extranjeros abril 2025 voto en contra de exigir a abogado de narcos que reporten sus ingresosdiciembre 2024 voto en contra de la creacion del ministerio de seguridad publicaabril 2025  no quiso votar en contra de endurecer las penas de arresto domiciliarioabril 2025 no quiso votar  contra la prevencion de delitos por parte de los gobiernos regionalesenero 2025 voto en contra de la reforma de pensiones agosto 2022 voto en contra de la ley papito corazon abril 2025 voto en contra de la creacion del servicio nacional forestaly suma y sigue",UCV92Gxy8Pf1Rm6_wOvyZpXg,Ugy5iR5UfNxho4_fU-x4AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=Ugy5iR5UfNxho4_fU-x4AaABAg
16,,@alexiscontreras4767,"2025-11-13 17:50:15",1,yes,no,"Minuto 3.35 el mas preparado  los demas puro humo., un crack",UCxoH8PqmsJ65UWCYmcjskEw,UgwNjwiBHBOVBw9atP14AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=UgwNjwiBHBOVBw9atP14AaABAg
17,,@donogkush8792,"2025-11-13 17:50:15",1,yes,no,"3:34 el. Momento más épico del debate solo miren como se le. Deforma la cara a Matheyy y incluso. El. Profe artes se  ríe de la. Brillante respuesta de Parísi 😂😂😂",UCRhIENtZEn99I6S6y2nGbbA,Ugx0IGGl4BgJ8kIkn1V4AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=Ugx0IGGl4BgJ8kIkn1V4AaABAg
18,,@donogkush8792,"2025-11-13 17:50:15",2,yes,no,"Tienen un doctor en economía y un montón de porros hablando de números y ustedes no piensan votar por Parísi? De verdad se lo volverán a farrear?",UCRhIENtZEn99I6S6y2nGbbA,Ugy_pmQ0yYgT9bjyyY14AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=Ugy_pmQ0yYgT9bjyyY14AaABAg
19,,@enunez8,"2025-11-13 17:50:15",1,yes,no,"meo es un burro queriendo pasar por brillante === CRINGE",UCLKsidwkFUzMAA_Sub9Rt9w,UgzAQAuTXadkAL-lqVp4AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=UgzAQAuTXadkAL-lqVp4AaABAg
20,,@juanmr9541,"2025-11-13 17:50:15",5,yes,no,"En Europa se hace lo que quiere hacer Kaiser y es mas barata por la competencia siendo la oferta y la demanda el fin, es el consumidor quien decide",UCkWcZlKDNq6DDH40rGUzi1A,UgyDrF7BCae8IUUlZQd4AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=UgyDrF7BCae8IUUlZQd4AaABAg
21,,@maicololivares3352,"2025-11-13 17:50:15",1,yes,no,"Hace 2 años atrás el peaje de Puchuncavi estaba a 1450 y ahora a 1900",UCSBm1P98Y_yTAy4x-M7NbQw,UgxfzZeWmeGlSeJD0gR4AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=UgxfzZeWmeGlSeJD0gR4AaABAg
22,,@mariofredes220,"2025-11-13 17:50:15",1,yes,no,"TUVIERON LA OPORTUNIDAD PARA ARREGLAR EL PAIS Y NO H ICIERON NADA",UCjKn2bnOTPDfWYK14D9TqwQ,UgwwP28cEwcysHk9AF14AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=UgwwP28cEwcysHk9AF14AaABAg
23,,@rodrihogi,"2025-11-13 17:50:15",4,yes,no,"parisi se los come a todos",UC46u6usF7PtHhoGnUojoBXQ,UgwbgZHmXiTuLKLpgHJ4AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=UgwbgZHmXiTuLKLpgHJ4AaABAg
24,,@sepuuuuuuuu,"2025-11-13 17:50:15",3,yes,no,"Las políticas de la 💩 andante que se llama Michelle Bachelet..tiene lleno de extranjeros que por ley deben tener un cupo para trabajar aquí y tienen que internalizarlos a planta..esos extranjeros sacan la plata del país...para la izquierda es más fácil decir que la plata la sacan los millonarios del país y la fuga de plata de los extranjeros es grandísima y nadie toca eso",UCBN2EbNGfNgVQNQPtFnL2Ug,UgwD1LJHH6v98b0kF3V4AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=UgwD1LJHH6v98b0kF3V4AaABAg
